y,x
1360.6728,1610.5
1360.6559,1611.5
1361.0538,1612.5
1361.1658,1613.5
1361.2402,1614.5
1360.9573,1615.5
1360.5407,1616.5
1360.4148,1617.5
1360.4042,1618.5
1360.4943,1619.5
1360.4904,1620.5
1360.4866,1621.5
1360.4827,1622.5
1360.4789,1623.5
1360.438,1624.5
1360.6562,1625.5
1360.545,1626.5
1360.4677,1627.5
1360.4777,1628.5
1360.4181,1629.5
1360.2687,1630.5
1360.2774,1631.5
1360.2442,1632.5
1360.3417,1633.5
1360.2621,1634.5
1360.267,1635.5
1360.2339,1636.5
1360.2305,1637.5
1360.6969,1638.5
1360.75,1639.5
1360.3195,1640.5
1360.2074,1641.5
1360.5265,1642.5
1360.3083,1643.5
1360.2531,1644.5
1360.1713,1645.5
1360.1708,1646.5
1360.1702,1647.5
1360.1683,1648.5
1360.1658,1649.5
1360.1648,1650.5
1360.1642,1651.5
1360.1916,1652.5
1360.1698,1653.5
1360.1617,1654.5
1360.1519,1655.5
1360.1508,1656.5
1360.1458,1657.5
1360.1404,1658.5
1360.1384,1659.5
1360.1518,1660.5
1360.1437,1661.5
1360.1384,1662.5
1360.1384,1663.5
1360.1385,1664.5
1360.1386,1665.5
1360.1386,1666.5
1360.1384,1667.5
1360.1381,1668.5
1360.1381,1669.5
1360.1381,1670.5
1360.1442,1671.5
1360.1407,1672.5
1360.1381,1673.5
1360.1394,1674.5
1360.1379,1675.5
1360.1498,1676.5
1360.1393,1677.5
1360.1387,1678.5
1360.1374,1679.5
1360.1429,1680.5
1360.1374,1681.5
1360.1374,1682.5
1360.1374,1683.5
1360.147,1684.5
1360.1376,1685.5
1360.1418,1686.5
1360.1385,1687.5
1360.1418,1688.5
1360.1405,1689.5
1360.1402,1690.5
1360.1416,1691.5
1360.1431,1692.5
1360.1436,1693.5
1360.1438,1694.5
1360.1445,1695.5
1360.1437,1696.5
1360.1437,1697.5
1360.1438,1698.5
1360.1443,1699.5
1360.1475,1700.5
1360.1495,1701.5
1360.1525,1702.5
1360.1703,1703.5
1360.1853,1704.5
1360.2011,1705.5
1360.1896,1706.5
1360.2061,1707.5
1360.1917,1708.5
1360.1873,1709.5
1360.1893,1710.5
1360.1998,1711.5
1360.2057,1712.5
1360.2122,1713.5
1360.2282,1714.5
1360.2553,1715.5
1360.2953,1716.5
1360.3553,1717.5
1360.2966,1718.5
1360.4688,1719.5
1360.4118,1720.5
1360.4139,1721.5
1360.3468,1722.5
1360.3096,1723.5
1360.394,1724.5
1360.3833,1725.5
1360.5533,1726.5
1360.5586,1727.5
1360.7496,1728.5
1360.4738,1729.5
1360.7864,1730.5
1360.3071,1731.5
1360.4349,1732.5
1360.3243,1733.5
1360.3345,1734.5
1360.4645,1735.5
1360.6745,1736.5
1360.5086,1737.5
1360.4629,1738.5
1360.7054,1739.5
1360.407,1740.5
1360.7366,1741.5
1360.4506,1742.5
1360.3957,1743.5
1360.3396,1744.5
1360.3423,1745.5
1360.3482,1746.5
1360.3564,1747.5
1360.7807,1748.5
1360.8008,1749.5
1360.7644,1750.5
1360.5939,1751.5
1360.5661,1752.5
1360.5479,1753.5
1360.461,1754.5
1360.4479,1755.5
1360.476,1756.5
1360.5993,1757.5
1360.7126,1758.5
1360.776,1759.5
1360.7513,1760.5
1360.9157,1761.5
1360.7773,1762.5
1360.707,1763.5
1360.6832,1764.5
1360.5324,1765.5
1360.5018,1766.5
1360.7076,1767.5
1360.9605,1768.5
1361.1453,1769.5
1361.1479,1770.5
1361.0414,1771.5
1360.9692,1772.5
1360.7502,1773.5
1360.7121,1774.5
1360.5752,1775.5
1360.6298,1776.5
1360.7915,1777.5
1361.0214,1778.5
1361.0793,1779.5
1360.9012,1780.5
1361.0127,1781.5
1360.7476,1782.5
1360.6543,1783.5
1360.5225,1784.5
1360.5817,1785.5
1360.8941,1786.5
1361.0596,1787.5
1361.006,1788.5
1360.9854,1789.5
1360.8863,1790.5
1360.736,1791.5
1360.722,1792.5
1360.7015,1793.5
1360.6075,1794.5
1360.4904,1795.5
1360.4607,1796.5
1360.4076,1797.5
1360.3826,1798.5
1360.3888,1799.5
1360.4294,1800.5
1360.7016,1801.5
1360.58,1802.5
1360.4477,1803.5
1360.4516,1804.5
1360.462,1805.5
1360.3644,1806.5
1360.2969,1807.5
1360.2717,1808.5
1360.2439,1809.5
1360.2353,1810.5
1360.2481,1811.5
