y,x
17.0,1500.0
19.0,1501.0
20.0,1502.0
15.0,1503.0
13.0,1504.0
14.0,1505.0
14.0,1506.0
14.0,1507.0
14.0,1508.0
11.0,1509.0
16.0,1510.0
19.0,1511.0
23.0,1512.0
18.0,1513.0
17.0,1514.0
20.0,1515.0
20.0,1516.0
18.0,1517.0
14.0,1518.0
16.0,1519.0
21.0,1520.0
24.0,1521.0
15.0,1522.0
16.0,1523.0
20.0,1524.0
14.0,1525.0
16.0,1526.0
25.5,1527.0
25.8,1528.0
26.0,1529.0
26.0,1530.0
29.0,1531.0
20.0,1532.0
18.0,1533.0
16.0,1534.0
22.0,1535.0
22.0,1536.0
16.0,1537.0
19.0,1538.0
17.0,1539.0
17.0,1540.0
19.0,1541.0
20.0,1542.0
24.0,1543.0
28.0,1544.0
36.0,1545.0
20.0,1546.0
14.0,1547.0
18.0,1548.0
27.0,1549.0
29.0,1550.0
36.0,1551.0
29.0,1552.0
27.0,1553.0
30.0,1554.0
38.0,1555.0
50.0,1556.0
24.0,1557.0
25.0,1558.0
30.0,1559.0
31.0,1560.0
37.0,1561.0
41.0,1562.0
36.0,1563.0
32.0,1564.0
47.0,1565.0
42.0,1566.0
37.0,1567.0
34.0,1568.0
36.0,1569.0
43.0,1570.0
55.0,1571.0
64.0,1572.0
79.0,1573.0
59.0,1574.0
47.0,1575.0
48.0,1576.0
49.0,1577.0
45.0,1578.0
53.0,1579.0
55.0,1580.0
55.0,1581.0
54.0,1582.0
56.0,1583.0
52.0,1584.0
76.0,1585.0
113.0,1586.0
68.0,1587.0
59.0,1588.0
74.0,1589.0
78.0,1590.0
69.0,1591.0
78.0,1592.0
73.0,1593.0
88.0,1594.0
98.0,1595.0
109.0,1596.0
106.0,1597.0
87.0,1598.0
77.0,1599.0
77.0,1600.0
63.0,1601.0
70.0,1602.0
70.0,1603.0
63.0,1604.0
61.0,1605.0
66.0,1606.0
78.0,1607.0
93.0,1608.0
97.0,1609.0
77.0,1610.0
83.0,1611.0
81.0,1612.0
82.0,1613.0
78.0,1614.0
75.0,1615.0
80.0,1616.0
87.0,1617.0
72.0,1618.0
65.0,1619.0
74.0,1620.0
91.0,1621.0
115.0,1622.0
99.0,1623.0
99.0,1624.0
115.0,1625.0
101.0,1626.0
90.0,1627.0
95.0,1628.0
108.0,1629.0
147.0,1630.0
112.0,1631.0
108.0,1632.0
99.0,1633.0
96.0,1634.0
102.0,1635.0
105.0,1636.0
114.0,1637.0
103.0,1638.0
98.0,1639.0
103.0,1640.0
101.0,1641.0
110.0,1642.0
109.0,1643.0
98.0,1644.0
84.0,1645.0
90.0,1646.0
120.0,1647.0
124.0,1648.0
136.0,1649.0
120.0,1650.0
135.0,1651.0
100.0,1652.0
70.0,1653.0
60.0,1654.0
72.0,1655.0
70.0,1656.0
71.0,1657.0
94.0,1658.0
95.0,1659.0
110.0,1660.0
154.0,1661.0
116.0,1662.0
99.0,1663.0
82.0,1664.0
76.0,1665.0
64.0,1666.0
63.0,1667.0
68.0,1668.0
64.0,1669.0
67.0,1670.0
71.0,1671.0
72.0,1672.0
89.0,1673.0
114.0,1674.0
102.0,1675.0
85.0,1676.0
88.0,1677.0
97.0,1678.0
94.0,1679.0
88.0,1680.0
79.0,1681.0
74.0,1682.0
79.0,1683.0
95.0,1684.0
70.0,1685.0
72.0,1686.0
63.0,1687.0
60.0,1688.0
74.0,1689.0
75.0,1690.0
91.0,1691.0
126.0,1692.0
161.0,1693.0
109.0,1694.0
108.0,1695.0
110.0,1696.0
130.0,1697.0
166.0,1698.0
143.0,1699.0
103.0,1700.0
89.0,1701.0
76.0,1702.0
93.0,1703.0
82.0,1704.0
71.0,1705.0
69.0,1706.0
75.0,1707.0
134.0,1708.0
183.0,1709.0
113.0,1710.0
108.0,1711.0
121.0,1712.0
139.0,1713.0
109.0,1714.0
90.0,1715.0
88.0,1716.0
88.0,1717.0
93.0,1718.0
106.0,1719.0
89.0,1720.0
79.0,1721.0
91.0,1722.0
96.0,1723.0
111.0,1724.0
112.0,1725.0
104.0,1726.0
94.0,1727.0
98.0,1728.0
88.0,1729.0
94.0,1730.0
81.0,1731.0
77.0,1732.0
84.0,1733.0
92.0,1734.0
96.0,1735.0
102.0,1736.0
95.0,1737.0
98.0,1738.0
125.0,1739.0
162.0,1740.0
