y,x
14.6,1981.010959
15.8,1981.013699
21.8,1981.024658
20.0,1981.027397
16.2,1981.030137
24.8,1981.049315
15.5,1981.054795
14.4,1981.063014
16.0,1981.065753
15.5,1981.079452
15.1,1981.082192
15.4,1981.084932
21.9,1981.093151
17.1,1981.106849
22.0,1981.123288
16.1,1981.136986
16.6,1981.142466
16.5,1981.145205
17.5,1981.158904
11.4,1981.180822
11.8,1981.189041
11.8,1981.19726
10.6,1981.20274
11.7,1981.205479
11.2,1981.210959
8.1,1981.219178
8.0,1981.221918
17.5,1981.254795
18.1,1981.260274
15.9,1981.271233
11.5,1981.279452
13.5,1981.282192
13.3,1981.287671
8.9,1981.315068
9.9,1981.326027
10.7,1981.353425
8.1,1981.356164
10.1,1981.358904
6.6,1981.367123
2.1,1981.383562
3.4,1981.386301
11.5,1981.394521
12.6,1981.4
11.4,1981.408219
12.8,1981.413699
10.6,1981.419178
11.2,1981.424658
7.1,1981.430137
3.5,1981.435616
4.3,1981.463014
7.1,1981.473973
5.8,1981.479452
9.2,1981.487671
10.2,1981.490411
9.5,1981.49589
7.4,1981.509589
6.8,1981.526027
5.7,1981.528767
6.1,1981.531507
8.8,1981.542466
5.0,1981.545205
10.1,1981.550685
12.0,1981.553425
7.7,1981.569863
3.2,1981.580822
5.7,1981.583562
7.7,1981.586301
9.0,1981.589041
6.2,1981.594521
6.9,1981.59726
7.0,1981.605479
5.2,1981.608219
7.9,1981.616438
7.6,1981.630137
7.9,1981.641096
5.5,1981.663014
10.3,1981.671233
9.8,1981.673973
8.5,1981.679452
7.5,1981.682192
11.2,1981.684932
14.6,1981.687671
11.7,1981.690411
10.1,1981.69863
7.3,1981.70411
10.9,1981.706849
10.7,1981.712329
7.2,1981.731507
10.7,1981.736986
9.6,1981.742466
11.4,1981.761644
7.3,1981.769863
7.8,1981.775342
5.6,1981.780822
11.2,1981.80274
8.4,1981.816438
11.0,1981.830137
9.2,1981.835616
13.7,1981.843836
14.2,1981.857534
9.5,1981.871233
8.9,1981.876712
11.9,1981.90137
12.6,1981.906849
17.8,1981.909589
15.0,1981.912329
14.2,1981.923288
11.5,1981.926027
13.0,1981.928767
14.7,1981.934247
15.6,1981.964384
13.3,1981.991781
15.0,1982.005479
13.5,1982.008219
13.0,1982.013699
14.1,1982.019178
15.8,1982.027397
13.0,1982.038356
15.8,1982.043836
17.0,1982.065753
14.6,1982.073973
14.8,1982.093151
13.6,1982.10137
22.7,1982.106849
13.5,1982.112329
19.2,1982.120548
26.3,1982.126027
17.0,1982.131507
15.2,1982.147945
12.5,1982.153425
13.9,1982.161644
14.0,1982.172603
16.7,1982.180822
10.0,1982.191781
20.7,1982.221918
14.5,1982.230137
12.3,1982.252055
11.2,1982.257534
10.1,1982.271233
19.5,1982.287671
14.2,1982.290411
