y,x
71138.7492385722,2004.88887
77253.2663003328,2004.888984
77340.779502806,2004.889098
66933.3237610039,2004.889555
59458.3178403242,2004.889669
52930.8706124631,2004.889897
50795.0,2004.890011
47474.4641032802,2004.890126
45387.152330033,2004.89024
45276.8570390678,2004.890582
38284.1260982288,2004.890811
31597.0,2004.891267
33643.6556044542,2004.891381
37522.8941603143,2004.891495
44282.8853347827,2004.891724
46397.1522299121,2004.891952
50711.8211323705,2004.89218
49087.5887543038,2004.892295
47360.9909058473,2004.892409
47312.6990259984,2004.892637
46389.854719599,2004.892751
40838.8006072861,2004.893094
39294.2846323815,2004.893208
37190.9867200458,2004.893322
37542.9262959261,2004.893436
22759.6921743584,2004.893779
26096.0,2004.894235
28981.9280384733,2004.894349
33023.0,2004.894463
37690.5144110885,2004.894578
52032.4168674926,2004.89492
70662.0,2004.895148
72310.8562854596,2004.895377
70801.0,2004.895605
69972.8127959347,2004.895719
67289.2818406283,2004.895833
55463.3240937735,2004.896062
49658.1331778494,2004.896176
45066.4971993558,2004.89629
37518.3266564391,2004.896518
85732.7072161868,2004.896975
109657.701043999,2004.897203
122664.462640075,2004.897546
120957.81983809,2004.89766
102011.78028786,2004.897888
93463.7023070212,2004.898002
84388.795132021,2004.898231
75475.1266410095,2004.898573
49963.177798291,2004.89903
43460.8238025103,2004.899258
43872.0,2004.899372
46920.2450208423,2004.899486
90777.8683952145,2004.899715
113912.899286329,2004.899943
119409.565215622,2004.900057
125058.789943813,2004.900171
119779.180293671,2004.9004
107937.658188249,2004.900514
96320.5037770286,2004.900628
84061.54042998,2004.900856
82382.836084646,2004.90097
78535.6436786175,2004.901084
77015.4762353587,2004.901313
72030.65105957,2004.901427
60855.2818305274,2004.901655
50997.3825420973,2004.901884
47565.9284036667,2004.901998
45270.1629059697,2004.902112
64916.4161658284,2004.90234
91055.5290636453,2004.902454
102021.362500691,2004.902568
102830.48257872,2004.902797
81473.4159360977,2004.903139
75003.650188884,2004.903253
67270.8986622572,2004.903368
53785.1515013139,2004.903824
51820.4891250403,2004.903938
38464.3886517659,2004.904281
34335.0,2004.904395
31852.5822210321,2004.904509
27960.3474986878,2004.904737
32337.9821557954,2004.904966
44782.6565744768,2004.90508
65160.0,2004.905194
74067.2744526768,2004.905308
80437.905296105,2004.905422
80415.565453178,2004.905537
83413.1317238492,2004.905651
84793.3985935452,2004.905765
81314.9954023768,2004.905879
66554.9830548406,2004.906107
61711.488546166,2004.906221
58145.5475866939,2004.906336
53628.7497932486,2004.90645
51279.1960376266,2004.906564
48923.3570543946,2004.906678
46283.6000648522,2004.906792
30673.1969292148,2004.907249
28032.5060310073,2004.907363
26527.6368730972,2004.907477
26178.8315246006,2004.907591
30784.684111386,2004.907705
44053.7802990782,2004.90782
62682.2854411126,2004.907934
74980.7807556714,2004.908619
63487.751703331,2004.908733
51138.512063503,2004.908961
46928.1518962182,2004.909304
42590.0822050454,2004.909646
39372.4462119828,2004.90976
34004.9086618342,2004.909989
25728.566160005,2004.910445
