y,x
5.4,1934.331507
5.4,1934.416438
5.1,1934.49863
4.8,1934.583562
5.5,1934.668493
6.1,1934.750685
6.4,1934.835616
6.8,1934.917808
6.4,1935.00274
6.0,1935.087671
6.1,1935.164384
6.1,1935.249315
5.3,1935.331507
5.5,1935.416438
5.7,1935.49863
5.0,1935.583562
5.8,1935.668493
9.0,1935.750685
10.4,1935.835616
9.9,1935.917808
10.7,1936.00274
9.7,1936.087671
8.8,1936.167123
8.1,1936.252055
8.4,1936.334247
6.4,1936.419178
6.7,1936.50137
7.4,1936.586301
9.1,1936.671233
11.9,1936.753425
12.5,1936.838356
11.8,1936.920548
11.1,1937.00274
13.1,1937.087671
12.3,1937.164384
9.7,1937.249315
7.7,1937.331507
7.6,1937.416438
8.1,1937.49863
8.9,1937.583562
10.4,1937.668493
13.0,1937.750685
13.2,1937.835616
12.3,1937.917808
11.5,1938.00274
12.8,1938.087671
12.2,1938.164384
10.0,1938.249315
8.1,1938.331507
7.3,1938.416438
7.4,1938.49863
7.9,1938.583562
9.6,1938.668493
12.1,1938.750685
13.1,1938.835616
12.4,1938.917808
11.1,1939.00274
11.7,1939.087671
10.3,1939.164384
9.3,1939.249315
8.0,1939.331507
7.4,1939.416438
6.9,1939.49863
7.6,1939.583562
8.9,1939.668493
12.2,1939.750685
11.4,1939.835616
10.3,1939.917808
9.5,1940.00274
9.6,1940.087671
9.8,1940.167123
8.4,1940.252055
7.4,1940.334247
6.7,1940.419178
6.4,1940.50137
7.1,1940.586301
9.2,1940.671233
10.7,1940.753425
10.6,1940.838356
9.3,1940.920548
9.0,1941.00274
8.9,1941.087671
8.1,1941.164384
7.2,1941.249315
5.7,1941.331507
5.8,1941.416438
5.8,1941.49863
6.2,1941.583562
6.9,1941.668493
9.1,1941.750685
9.0,1941.835616
8.7,1941.917808
8.0,1942.00274
7.8,1942.087671
8.7,1942.164384
7.4,1942.249315
6.1,1942.331507
5.3,1942.416438
4.9,1942.49863
5.1,1942.583562
6.0,1942.668493
7.4,1942.750685
7.5,1942.835616
7.0,1942.917808
6.4,1943.00274
6.6,1943.087671
6.2,1943.164384
5.6,1943.249315
5.1,1943.331507
5.2,1943.416438
5.2,1943.49863
4.8,1943.583562
5.2,1943.668493
6.0,1943.750685
6.6,1943.835616
7.1,1943.917808
6.4,1944.00274
6.0,1944.087671
5.9,1944.167123
5.2,1944.252055
4.9,1944.334247
4.7,1944.419178
4.7,1944.50137
5.0,1944.586301
5.6,1944.671233
7.0,1944.753425
6.6,1944.838356
7.1,1944.920548
6.5,1945.00274
6.6,1945.087671
6.2,1945.164384
6.3,1945.249315
5.7,1945.331507
5.8,1945.416438
5.5,1945.49863
5.7,1945.583562
6.4,1945.668493
9.3,1945.750685
9.3,1945.835616
8.6,1945.917808
7.7,1946.00274
9.4,1946.087671
9.7,1946.164384
9.2,1946.249315
6.2,1946.331507
6.3,1946.416438
6.1,1946.49863
7.2,1946.583562
8.6,1946.668493
11.5,1946.750685
12.2,1946.835616
12.0,1946.917808
12.0,1947.00274
13.0,1947.087671
12.5,1947.164384
11.2,1947.249315
10.0,1947.331507
6.9,1947.416438
7.1,1947.49863
7.7,1947.583562
10.6,1947.668493
13.0,1947.750685
13.5,1947.835616
12.6,1947.917808
12.3,1948.00274
11.3,1948.087671
11.2,1948.167123
10.8,1948.252055
8.2,1948.334247
7.6,1948.419178
7.1,1948.50137
6.8,1948.586301
9.2,1948.671233
11.5,1948.753425
12.4,1948.838356
11.7,1948.920548
12.1,1949.00274
12.5,1949.087671
12.5,1949.164384
10.6,1949.249315
8.3,1949.331507
7.0,1949.416438
7.1,1949.49863
7.8,1949.583562
10.1,1949.668493
12.6,1949.750685
13.1,1949.835616
12.0,1949.917808
11.3,1950.00274
11.0,1950.087671
10.5,1950.164384
8.8,1950.249315
7.2,1950.331507
6.8,1950.416438
6.0,1950.49863
6.1,1950.583562
7.0,1950.668493
9.2,1950.750685
9.0,1950.835616
8.6,1950.917808
8.4,1951.00274
8.7,1951.087671
7.8,1951.164384
6.3,1951.249315
6.1,1951.331507
6.0,1951.416438
5.6,1951.49863
5.8,1951.583562
7.0,1951.668493
8.6,1951.750685
9.2,1951.835616
8.8,1951.917808
8.0,1952.00274
7.5,1952.087671
6.5,1952.167123
5.5,1952.252055
4.8,1952.334247
5.2,1952.419178
5.0,1952.50137
5.3,1952.586301
6.0,1952.671233
7.2,1952.753425
7.6,1952.838356
7.3,1952.920548
6.4,1953.00274
6.2,1953.087671
5.2,1953.164384
5.2,1953.249315
4.8,1953.331507
4.8,1953.416438
4.3,1953.49863
4.7,1953.583562
6.0,1953.668493
6.2,1953.750685
6.5,1953.835616
6.3,1953.917808
5.9,1954.00274
5.7,1954.087671
5.5,1954.164384
5.0,1954.249315
