y,x
1709.0,1956.00274
1646.0,1956.087671
1794.0,1956.167123
1878.0,1956.252055
2173.0,1956.334247
2321.0,1956.419178
2468.0,1956.50137
2416.0,1956.586301
2184.0,1956.671233
2121.0,1956.753425
1962.0,1956.838356
1825.0,1956.920548
1751.0,1957.00274
1688.0,1957.087671
1920.0,1957.164384
1941.0,1957.249315
2311.0,1957.331507
2279.0,1957.416438
2638.0,1957.49863
2448.0,1957.583562
2279.0,1957.668493
2163.0,1957.750685
1941.0,1957.835616
1878.0,1957.917808
1773.0,1958.00274
1688.0,1958.087671
1783.0,1958.164384
1984.0,1958.249315
2290.0,1958.331507
2511.0,1958.416438
2712.0,1958.49863
2522.0,1958.583562
2342.0,1958.668493
2195.0,1958.750685
1931.0,1958.835616
1910.0,1958.917808
1730.0,1959.00274
1688.0,1959.087671
1899.0,1959.164384
1994.0,1959.249315
2342.0,1959.331507
2553.0,1959.416438
2712.0,1959.49863
2627.0,1959.583562
2363.0,1959.668493
2311.0,1959.750685
2026.0,1959.835616
1910.0,1959.917808
1762.0,1960.00274
1815.0,1960.087671
2005.0,1960.167123
2089.0,1960.252055
2617.0,1960.334247
2828.0,1960.419178
2965.0,1960.50137
2891.0,1960.586301
2532.0,1960.671233
2363.0,1960.753425
2216.0,1960.838356
2026.0,1960.920548
1804.0,1961.00274
1773.0,1961.087671
2015.0,1961.164384
2089.0,1961.249315
2627.0,1961.331507
2712.0,1961.416438
3007.0,1961.49863
2880.0,1961.583562
2490.0,1961.668493
2237.0,1961.750685
2205.0,1961.835616
1984.0,1961.917808
1868.0,1962.00274
1815.0,1962.087671
2047.0,1962.164384
2142.0,1962.249315
2743.0,1962.331507
2775.0,1962.416438
3028.0,1962.49863
2965.0,1962.583562
2501.0,1962.668493
2501.0,1962.750685
2131.0,1962.835616
2015.0,1962.917808
1910.0,1963.00274
1868.0,1963.087671
2121.0,1963.164384
2268.0,1963.249315
2690.0,1963.331507
2933.0,1963.416438
3218.0,1963.49863
3028.0,1963.583562
2659.0,1963.668493
2406.0,1963.750685
2258.0,1963.835616
2057.0,1963.917808
1889.0,1964.00274
1984.0,1964.087671
2110.0,1964.167123
2311.0,1964.252055
2785.0,1964.334247
3039.0,1964.419178
3229.0,1964.50137
3070.0,1964.586301
2659.0,1964.671233
2543.0,1964.753425
2237.0,1964.838356
2142.0,1964.920548
1962.0,1965.00274
1910.0,1965.087671
2216.0,1965.164384
2437.0,1965.249315
2817.0,1965.331507
3123.0,1965.416438
3345.0,1965.49863
3112.0,1965.583562
2659.0,1965.668493
2469.0,1965.750685
2332.0,1965.835616
2110.0,1965.917808
1910.0,1966.00274
1941.0,1966.087671
2216.0,1966.164384
2342.0,1966.249315
2923.0,1966.331507
3229.0,1966.416438
3513.0,1966.49863
3355.0,1966.583562
2849.0,1966.668493
2680.0,1966.750685
2395.0,1966.835616
2205.0,1966.917808
1994.0,1967.00274
1952.0,1967.087671
2290.0,1967.164384
2395.0,1967.249315
2965.0,1967.331507
3239.0,1967.416438
3608.0,1967.49863
3524.0,1967.583562
3018.0,1967.668493
2648.0,1967.750685
2363.0,1967.835616
2247.0,1967.917808
1994.0,1968.00274
1941.0,1968.087671
2258.0,1968.167123
2332.0,1968.252055
3323.0,1968.334247
3608.0,1968.419178
3957.0,1968.50137
3672.0,1968.586301
3155.0,1968.671233
2933.0,1968.753425
2585.0,1968.838356
2384.0,1968.920548
2057.0,1969.00274
2100.0,1969.087671
2458.0,1969.164384
2638.0,1969.249315
3292.0,1969.331507
3724.0,1969.416438
4652.0,1969.49863
4379.0,1969.583562
4231.0,1969.668493
3756.0,1969.750685
3429.0,1969.835616
3461.0,1969.917808
3345.0,1970.00274
4220.0,1970.087671
4874.0,1970.164384
5064.0,1970.249315
5951.0,1970.331507
6774.0,1970.416438
7997.0,1970.49863
7523.0,1970.583562
7438.0,1970.668493
6879.0,1970.750685
6489.0,1970.835616
6288.0,1970.917808
5919.0,1971.00274
6183.0,1971.087671
6594.0,1971.164384
6489.0,1971.249315
8040.0,1971.331507
9715.0,1971.416438
9714.0,1971.49863
9756.0,1971.583562
8595.0,1971.668493
7861.0,1971.750685
7753.0,1971.835616
8154.0,1971.917808
7778.0,1972.00274
7402.0,1972.087671
8903.0,1972.167123
9742.0,1972.252055
11372.0,1972.334247
12741.0,1972.419178
13733.0,1972.50137
13691.0,1972.586301
12239.0,1972.671233
12502.0,1972.753425
11241.0,1972.838356
10829.0,1972.920548
11569.0,1973.00274
10397.0,1973.087671
12493.0,1973.164384
11962.0,1973.249315
13974.0,1973.331507
14945.0,1973.416438
16805.0,1973.49863
16587.0,1973.583562
14225.0,1973.668493
14157.0,1973.750685
13016.0,1973.835616
12253.0,1973.917808
11704.0,1974.00274
12275.0,1974.087671
13695.0,1974.164384
14082.0,1974.249315
16555.0,1974.331507
17339.0,1974.416438
17777.0,1974.49863
17592.0,1974.583562
16194.0,1974.668493
15336.0,1974.750685
14208.0,1974.835616
13116.0,1974.917808
12354.0,1975.00274
12682.0,1975.087671
14141.0,1975.164384
14989.0,1975.249315
16159.0,1975.331507
18276.0,1975.416438
19157.0,1975.49863
18737.0,1975.583562
17109.0,1975.668493
17094.0,1975.750685
15418.0,1975.835616
14312.0,1975.917808
13260.0,1976.00274
14990.0,1976.087671
15975.0,1976.167123
16770.0,1976.252055
19819.0,1976.334247
20983.0,1976.419178
22001.0,1976.50137
22337.0,1976.586301
20750.0,1976.671233
19969.0,1976.753425
17293.0,1976.838356
16498.0,1976.920548
15117.0,1977.00274
16058.0,1977.087671
18137.0,1977.164384
18471.0,1977.249315
21398.0,1977.331507
23854.0,1977.416438
26025.0,1977.49863
25479.0,1977.583562
22804.0,1977.668493
19619.0,1977.750685
19627.0,1977.835616
18488.0,1977.917808
17243.0,1978.00274
18284.0,1978.087671
20226.0,1978.164384
20903.0,1978.249315
23768.0,1978.331507
26323.0,1978.416438
28038.0,1978.49863
26776.0,1978.583562
22886.0,1978.668493
22813.0,1978.750685
22404.0,1978.835616
19795.0,1978.917808
18839.0,1979.00274
18892.0,1979.087671
20823.0,1979.164384
22212.0,1979.249315
25076.0,1979.331507
26884.0,1979.416438
30611.0,1979.49863
30228.0,1979.583562
26762.0,1979.668493
25885.0,1979.750685
23328.0,1979.835616
21930.0,1979.917808
21433.0,1980.00274
22369.0,1980.087671
24503.0,1980.167123
25905.0,1980.252055
30605.0,1980.334247
34984.0,1980.419178
37060.0,1980.50137
34502.0,1980.586301
31793.0,1980.671233
29275.0,1980.753425
28305.0,1980.838356
25248.0,1980.920548
27730.0,1981.00274
27424.0,1981.087671
32684.0,1981.164384
31366.0,1981.249315
37459.0,1981.331507
41060.0,1981.416438
43558.0,1981.49863
42398.0,1981.583562
33827.0,1981.668493
34962.0,1981.750685
33480.0,1981.835616
32445.0,1981.917808
30715.0,1982.00274
30400.0,1982.087671
31451.0,1982.164384
31306.0,1982.249315
40592.0,1982.331507
44133.0,1982.416438
47387.0,1982.49863
41310.0,1982.583562
37913.0,1982.668493
34355.0,1982.750685
34607.0,1982.835616
28729.0,1982.917808
26138.0,1983.00274
30745.0,1983.087671
35018.0,1983.164384
34549.0,1983.249315
40980.0,1983.331507
42869.0,1983.416438
45022.0,1983.49863
40387.0,1983.583562
38180.0,1983.668493
38608.0,1983.750685
35308.0,1983.835616
30234.0,1983.917808
28801.0,1984.00274
33034.0,1984.087671
35294.0,1984.167123
33181.0,1984.252055
40797.0,1984.334247
42355.0,1984.419178
46098.0,1984.50137
42430.0,1984.586301
41851.0,1984.671233
39331.0,1984.753425
37328.0,1984.838356
34514.0,1984.920548
32494.0,1985.00274
33308.0,1985.087671
36805.0,1985.164384
34221.0,1985.249315
41020.0,1985.331507
44350.0,1985.416438
46173.0,1985.49863
44435.0,1985.583562
40943.0,1985.668493
39269.0,1985.750685
35901.0,1985.835616
32142.0,1985.917808
31239.0,1986.00274
32261.0,1986.087671
34951.0,1986.164384
38109.0,1986.249315
43168.0,1986.331507
45547.0,1986.416438
49568.0,1986.49863
45387.0,1986.583562
41805.0,1986.668493
41281.0,1986.750685
36068.0,1986.835616
34879.0,1986.917808
32791.0,1987.00274
34206.0,1987.087671
39128.0,1987.164384
40249.0,1987.249315
43519.0,1987.331507
46137.0,1987.416438
56709.0,1987.49863
52306.0,1987.583562
49397.0,1987.668493
45500.0,1987.750685
39857.0,1987.835616
37958.0,1987.917808
35567.0,1988.00274
37696.0,1988.087671
42319.0,1988.167123
39137.0,1988.252055
47062.0,1988.334247
50610.0,1988.419178
54457.0,1988.50137
54435.0,1988.586301
48516.0,1988.671233
43225.0,1988.753425
42155.0,1988.838356
39995.0,1988.920548
37541.0,1989.00274
37277.0,1989.087671
41778.0,1989.164384
41666.0,1989.249315
49616.0,1989.331507
57793.0,1989.416438
61884.0,1989.49863
62400.0,1989.583562
50820.0,1989.668493
51116.0,1989.750685
45731.0,1989.835616
42528.0,1989.917808
40459.0,1990.00274
40295.0,1990.087671
44147.0,1990.164384
42697.0,1990.249315
52561.0,1990.331507
56572.0,1990.416438
56858.0,1990.49863
58363.0,1990.583562
45627.0,1990.668493
45622.0,1990.750685
41304.0,1990.835616
36016.0,1990.917808
35592.0,1991.00274
35677.0,1991.087671
39864.0,1991.164384
41761.0,1991.249315
50380.0,1991.331507
49129.0,1991.416438
55066.0,1991.49863
55671.0,1991.583562
49058.0,1991.668493
44503.0,1991.750685
42145.0,1991.835616
38698.0,1991.917808
38963.0,1992.00274
38690.0,1992.087671
39792.0,1992.167123
42545.0,1992.252055
50145.0,1992.334247
58164.0,1992.419178
59035.0,1992.50137
59408.0,1992.586301
55988.0,1992.671233
