y,x
77.0,1956.00274
82.0,1956.087671
80.0,1956.167123
78.0,1956.252055
74.0,1956.334247
68.0,1956.419178
59.0,1956.50137
67.0,1956.586301
68.0,1956.671233
70.0,1956.753425
64.0,1956.838356
61.0,1956.920548
72.0,1957.00274
83.0,1957.087671
90.0,1957.164384
87.0,1957.249315
89.0,1957.331507
80.0,1957.416438
82.0,1957.49863
89.0,1957.583562
74.0,1957.668493
73.0,1957.750685
83.0,1957.835616
78.0,1957.917808
80.0,1958.00274
83.0,1958.087671
88.0,1958.164384
91.0,1958.249315
99.0,1958.331507
84.0,1958.416438
81.0,1958.49863
97.0,1958.583562
82.0,1958.668493
77.0,1958.750685
82.0,1958.835616
68.0,1958.917808
81.0,1959.00274
79.0,1959.087671
94.0,1959.164384
91.0,1959.249315
91.0,1959.331507
78.0,1959.416438
74.0,1959.49863
84.0,1959.583562
83.0,1959.668493
86.0,1959.750685
75.0,1959.835616
85.0,1959.917808
89.0,1960.00274
91.0,1960.087671
104.0,1960.167123
109.0,1960.252055
107.0,1960.334247
100.0,1960.419178
79.0,1960.50137
90.0,1960.586301
97.0,1960.671233
87.0,1960.753425
74.0,1960.838356
92.0,1960.920548
92.0,1961.00274
97.0,1961.087671
108.0,1961.164384
113.0,1961.249315
112.0,1961.331507
99.0,1961.416438
86.0,1961.49863
93.0,1961.583562
96.0,1961.668493
85.0,1961.750685
74.0,1961.835616
86.0,1961.917808
89.0,1962.00274
106.0,1962.087671
113.0,1962.164384
115.0,1962.249315
109.0,1962.331507
103.0,1962.416438
100.0,1962.49863
99.0,1962.583562
103.0,1962.668493
103.0,1962.750685
101.0,1962.835616
103.0,1962.917808
107.0,1963.00274
111.0,1963.087671
121.0,1963.164384
120.0,1963.249315
110.0,1963.331507
103.0,1963.416438
93.0,1963.49863
110.0,1963.583562
115.0,1963.668493
118.0,1963.750685
118.0,1963.835616
121.0,1963.917808
123.0,1964.00274
123.0,1964.087671
134.0,1964.167123
131.0,1964.252055
142.0,1964.334247
143.0,1964.419178
126.0,1964.50137
124.0,1964.586301
124.0,1964.671233
139.0,1964.753425
127.0,1964.838356
141.0,1964.920548
135.0,1965.00274
136.0,1965.087671
167.0,1965.164384
151.0,1965.249315
154.0,1965.331507
137.0,1965.416438
130.0,1965.49863
134.0,1965.583562
141.0,1965.668493
149.0,1965.750685
125.0,1965.835616
151.0,1965.917808
156.0,1966.00274
151.0,1966.087671
162.0,1966.164384
172.0,1966.249315
164.0,1966.331507
170.0,1966.416438
160.0,1966.49863
155.0,1966.583562
153.0,1966.668493
169.0,1966.750685
162.0,1966.835616
160.0,1966.917808
190.0,1967.00274
167.0,1967.087671
198.0,1967.164384
181.0,1967.249315
175.0,1967.331507
154.0,1967.416438
140.0,1967.49863
160.0,1967.583562
177.0,1967.668493
164.0,1967.750685
156.0,1967.835616
165.0,1967.917808
167.0,1968.00274
168.0,1968.087671
159.0,1968.167123
174.0,1968.252055
168.0,1968.334247
128.0,1968.419178
121.0,1968.50137
152.0,1968.586301
177.0,1968.671233
168.0,1968.753425
142.0,1968.838356
167.0,1968.920548
160.0,1969.00274
170.0,1969.087671
181.0,1969.164384
171.0,1969.249315
150.0,1969.331507
126.0,1969.416438
107.0,1969.49863
139.0,1969.583562
174.0,1969.668493
163.0,1969.750685
152.0,1969.835616
176.0,1969.917808
174.0,1970.00274
150.0,1970.087671
153.0,1970.164384
133.0,1970.249315
141.0,1970.331507
114.0,1970.416438
89.0,1970.49863
129.0,1970.583562
159.0,1970.668493
148.0,1970.750685
144.0,1970.835616
146.0,1970.917808
117.0,1971.00274
156.0,1971.087671
147.0,1971.164384
148.0,1971.249315
136.0,1971.331507
91.0,1971.416438
73.0,1971.49863
144.0,1971.583562
149.0,1971.668493
155.0,1971.750685
147.0,1971.835616
134.0,1971.917808
137.0,1972.00274
133.0,1972.087671
130.0,1972.167123
185.0,1972.252055
185.0,1972.334247
178.0,1972.419178
125.0,1972.50137
148.0,1972.586301
163.0,1972.671233
195.0,1972.753425
173.0,1972.838356
202.0,1972.920548
214.0,1973.00274
199.0,1973.087671
196.0,1973.164384
212.0,1973.249315
220.0,1973.331507
218.0,1973.416438
160.0,1973.49863
201.0,1973.583562
217.0,1973.668493
167.0,1973.750685
182.0,1973.835616
197.0,1973.917808
226.0,1974.00274
226.0,1974.087671
189.0,1974.164384
228.0,1974.249315
223.0,1974.331507
214.0,1974.416438
167.0,1974.49863
160.0,1974.583562
210.0,1974.668493
208.0,1974.750685
179.0,1974.835616
201.0,1974.917808
154.0,1975.00274
