y,x
278.0,1948.00274
310.0,1948.087671
298.0,1948.167123
225.0,1948.252055
185.0,1948.334247
385.0,1948.419178
356.0,1948.50137
274.0,1948.586301
197.0,1948.671233
166.0,1948.753425
189.0,1948.838356
203.0,1948.920548
295.0,1949.00274
294.0,1949.087671
318.0,1949.164384
301.0,1949.249315
349.0,1949.331507
550.0,1949.416438
478.0,1949.49863
408.0,1949.583562
294.0,1949.668493
290.0,1949.750685
305.0,1949.835616
351.0,1949.917808
476.0,1950.00274
448.0,1950.087671
337.0,1950.164384
291.0,1950.249315
328.0,1950.331507
500.0,1950.416438
361.0,1950.49863
271.0,1950.583562
228.0,1950.668493
187.0,1950.750685
177.0,1950.835616
213.0,1950.917808
223.0,1951.00274
204.0,1951.087671
171.0,1951.164384
149.0,1951.249315
147.0,1951.331507
305.0,1951.416438
278.0,1951.49863
186.0,1951.583562
152.0,1951.668493
128.0,1951.750685
180.0,1951.835616
168.0,1951.917808
250.0,1952.00274
244.0,1952.087671
198.0,1952.167123
166.0,1952.252055
188.0,1952.334247
324.0,1952.419178
266.0,1952.50137
178.0,1952.586301
176.0,1952.671233
122.0,1952.753425
162.0,1952.838356
183.0,1952.920548
170.0,1953.00274
174.0,1953.087671
166.0,1953.164384
132.0,1953.249315
140.0,1953.331507
280.0,1953.416438
234.0,1953.49863
176.0,1953.583562
141.0,1953.668493
162.0,1953.750685
175.0,1953.835616
252.0,1953.917808
294.0,1954.00274
374.0,1954.087671
324.0,1954.164384
277.0,1954.249315
314.0,1954.331507
385.0,1954.416438
427.0,1954.49863
346.0,1954.583562
279.0,1954.668493
188.0,1954.750685
239.0,1954.835616
276.0,1954.917808
309.0,1955.00274
283.0,1955.087671
243.0,1955.164384
212.0,1955.249315
244.0,1955.331507
439.0,1955.416438
354.0,1955.49863
272.0,1955.583562
223.0,1955.668493
218.0,1955.750685
233.0,1955.835616
258.0,1955.917808
275.0,1956.00274
290.0,1956.087671
227.0,1956.167123
219.0,1956.252055
279.0,1956.334247
494.0,1956.419178
359.0,1956.50137
241.0,1956.586301
178.0,1956.671233
178.0,1956.753425
262.0,1956.838356
226.0,1956.920548
313.0,1957.00274
256.0,1957.087671
290.0,1957.164384
248.0,1957.249315
257.0,1957.331507
507.0,1957.416438
390.0,1957.49863
270.0,1957.583562
229.0,1957.668493
226.0,1957.750685
311.0,1957.835616
298.0,1957.917808
361.0,1958.00274
391.0,1958.087671
393.0,1958.164384
377.0,1958.249315
415.0,1958.331507
634.0,1958.416438
580.0,1958.49863
414.0,1958.583562
383.0,1958.668493
335.0,1958.750685
342.0,1958.835616
372.0,1958.917808
396.0,1959.00274
382.0,1959.087671
346.0,1959.164384
330.0,1959.249315
354.0,1959.331507
603.0,1959.416438
523.0,1959.49863
436.0,1959.583562
336.0,1959.668493
349.0,1959.750685
327.0,1959.835616
399.0,1959.917808
381.0,1960.00274
330.0,1960.087671
424.0,1960.167123
367.0,1960.252055
388.0,1960.334247
749.0,1960.419178
548.0,1960.50137
456.0,1960.586301
329.0,1960.671233
370.0,1960.753425
365.0,1960.838356
400.0,1960.920548
462.0,1961.00274
481.0,1961.087671
463.0,1961.164384
443.0,1961.249315
445.0,1961.331507
811.0,1961.416438
608.0,1961.49863
472.0,1961.583562
388.0,1961.668493
373.0,1961.750685
377.0,1961.835616
423.0,1961.917808
401.0,1962.00274
425.0,1962.087671
396.0,1962.164384
355.0,1962.249315
416.0,1962.331507
699.0,1962.416438
469.0,1962.49863
380.0,1962.583562
338.0,1962.668493
307.0,1962.750685
380.0,1962.835616
328.0,1962.917808
386.0,1963.00274
469.0,1963.087671
465.0,1963.164384
480.0,1963.249315
585.0,1963.331507
831.0,1963.416438
670.0,1963.49863
474.0,1963.583562
416.0,1963.668493
376.0,1963.750685
441.0,1963.835616
414.0,1963.917808
442.0,1964.00274
425.0,1964.087671
475.0,1964.167123
490.0,1964.252055
527.0,1964.334247
872.0,1964.419178
569.0,1964.50137
483.0,1964.586301
394.0,1964.671233
327.0,1964.753425
424.0,1964.838356
417.0,1964.920548
415.0,1965.00274
419.0,1965.087671
416.0,1965.164384
463.0,1965.249315
535.0,1965.331507
844.0,1965.416438
662.0,1965.49863
456.0,1965.583562
378.0,1965.668493
398.0,1965.750685
359.0,1965.835616
405.0,1965.917808
391.0,1966.00274
359.0,1966.087671
411.0,1966.164384
397.0,1966.249315
496.0,1966.331507
777.0,1966.416438
576.0,1966.49863
382.0,1966.583562
352.0,1966.668493
317.0,1966.750685
342.0,1966.835616
388.0,1966.917808
391.0,1967.00274
425.0,1967.087671
372.0,1967.164384
363.0,1967.249315
337.0,1967.331507
753.0,1967.416438
620.0,1967.49863
455.0,1967.583562
375.0,1967.668493
431.0,1967.750685
450.0,1967.835616
402.0,1967.917808
385.0,1968.00274
417.0,1968.087671
400.0,1968.167123
320.0,1968.252055
292.0,1968.334247
778.0,1968.419178
627.0,1968.50137
396.0,1968.586301
339.0,1968.671233
368.0,1968.753425
385.0,1968.838356
410.0,1968.920548
426.0,1969.00274
405.0,1969.087671
413.0,1969.164384
352.0,1969.249315
304.0,1969.331507
675.0,1969.416438
663.0,1969.49863
407.0,1969.583562
407.0,1969.668493
403.0,1969.750685
420.0,1969.835616
410.0,1969.917808
479.0,1970.00274
500.0,1970.087671
475.0,1970.164384
483.0,1970.249315
440.0,1970.331507
947.0,1970.416438
807.0,1970.49863
586.0,1970.583562
581.0,1970.668493
603.0,1970.750685
620.0,1970.835616
669.0,1970.917808
707.0,1971.00274
655.0,1971.087671
638.0,1971.164384
574.0,1971.249315
552.0,1971.331507
980.0,1971.416438
926.0,1971.49863
680.0,1971.583562
597.0,1971.668493
637.0,1971.750685
660.0,1971.835616
704.0,1971.917808
758.0,1972.00274
835.0,1972.087671
747.0,1972.167123
617.0,1972.252055
554.0,1972.334247
929.0,1972.419178
815.0,1972.50137
702.0,1972.586301
640.0,1972.671233
588.0,1972.753425
669.0,1972.838356
675.0,1972.920548
610.0,1973.00274
651.0,1973.087671
605.0,1973.164384
592.0,1973.249315
527.0,1973.331507
898.0,1973.416438
839.0,1973.49863
614.0,1973.583562
594.0,1973.668493
576.0,1973.750685
672.0,1973.835616
651.0,1973.917808
714.0,1974.00274
715.0,1974.087671
