y,x
281.0,1977.016438
251.0,1977.019178
281.0,1977.035616
187.0,1977.063014
311.0,1977.071233
270.0,1977.073973
220.0,1977.079452
219.0,1977.082192
271.0,1977.087671
222.0,1977.10137
265.0,1977.109589
202.0,1977.139726
314.0,1977.147945
236.0,1977.158904
300.0,1977.169863
204.0,1977.178082
319.0,1977.205479
311.0,1977.208219
266.0,1977.213699
301.0,1977.227397
289.0,1977.230137
258.0,1977.232877
237.0,1977.238356
311.0,1977.241096
319.0,1977.287671
244.0,1977.290411
300.0,1977.30411
285.0,1977.306849
304.0,1977.320548
304.0,1977.339726
319.0,1977.342466
316.0,1977.358904
199.0,1977.367123
320.0,1977.372603
309.0,1977.383562
302.0,1977.4
312.0,1977.40274
227.0,1977.427397
281.0,1977.435616
233.0,1977.446575
305.0,1977.452055
269.0,1977.454795
205.0,1977.463014
264.0,1977.468493
295.0,1977.471233
219.0,1977.479452
294.0,1977.490411
307.0,1977.493151
239.0,1977.50137
263.0,1977.506849
260.0,1977.526027
306.0,1977.536986
220.0,1977.539726
304.0,1977.547945
250.0,1977.553425
219.0,1977.558904
269.0,1977.564384
291.0,1977.575342
205.0,1977.6
256.0,1977.60274
226.0,1977.641096
210.0,1977.654795
292.0,1977.709589
292.0,1977.726027
259.0,1977.756164
274.0,1977.775342
292.0,1977.79726
286.0,1977.8
267.0,1977.821918
202.0,1977.830137
252.0,1977.832877
291.0,1977.838356
202.0,1977.846575
276.0,1977.852055
192.0,1977.868493
286.0,1977.882192
220.0,1977.884932
227.0,1977.928767
259.0,1977.934247
265.0,1977.956164
195.0,1977.961644
184.0,1977.964384
236.0,1977.967123
268.0,1977.991781
241.0,1977.994521
277.0,1978.010959
191.0,1978.019178
261.0,1978.054795
250.0,1978.063014
270.0,1978.071233
267.0,1978.073973
193.0,1978.079452
243.0,1978.082192
289.0,1978.090411
285.0,1978.126027
286.0,1978.131507
292.0,1978.142466
206.0,1978.156164
288.0,1978.164384
207.0,1978.175342
301.0,1978.2
312.0,1978.208219
281.0,1978.216438
303.0,1978.219178
207.0,1978.232877
265.0,1978.235616
291.0,1978.246575
247.0,1978.271233
310.0,1978.273973
266.0,1978.284932
189.0,1978.290411
315.0,1978.29863
262.0,1978.306849
269.0,1978.315068
211.0,1978.328767
303.0,1978.334247
260.0,1978.367123
312.0,1978.369863
287.0,1978.391781
338.0,1978.413699
225.0,1978.421918
279.0,1978.430137
287.0,1978.487671
307.0,1978.493151
284.0,1978.506849
290.0,1978.509589
279.0,1978.523288
275.0,1978.531507
252.0,1978.553425
247.0,1978.556164
283.0,1978.569863
239.0,1978.591781
236.0,1978.594521
283.0,1978.619178
210.0,1978.635616
255.0,1978.646575
178.0,1978.654795
213.0,1978.673973
200.0,1978.676712
202.0,1978.693151
246.0,1978.69589
256.0,1978.70137
255.0,1978.715068
271.0,1978.720548
282.0,1978.761644
175.0,1978.769863
187.0,1978.786301
278.0,1978.80274
220.0,1978.819178
201.0,1978.827397
212.0,1978.830137
247.0,1978.832877
221.0,1978.849315
288.0,1978.852055
220.0,1978.863014
189.0,1978.865753
216.0,1978.882192
262.0,1978.887671
203.0,1978.90137
249.0,1978.912329
273.0,1978.936986
208.0,1978.978082
190.0,1978.980822
242.0,1979.010959
192.0,1979.016438
208.0,1979.038356
261.0,1979.041096
287.0,1979.087671
214.0,1979.09589
275.0,1979.10411
207.0,1979.112329
221.0,1979.117808
279.0,1979.126027
322.0,1979.145205
322.0,1979.164384
248.0,1979.169863
288.0,1979.175342
284.0,1979.186301
307.0,1979.216438
255.0,1979.227397
302.0,1979.238356
326.0,1979.276712
285.0,1979.284932
255.0,1979.290411
317.0,1979.312329
301.0,1979.334247
306.0,1979.372603
302.0,1979.405479
224.0,1979.421918
307.0,1979.435616
219.0,1979.441096
306.0,1979.449315
289.0,1979.463014
224.0,1979.476712
217.0,1979.479452
298.0,1979.487671
324.0,1979.531507
228.0,1979.534247
298.0,1979.545205
266.0,1979.550685
294.0,1979.564384
234.0,1979.572603
279.0,1979.578082
290.0,1979.624658
223.0,1979.632877
279.0,1979.635616
297.0,1979.657534
226.0,1979.673973
280.0,1979.676712
301.0,1979.679452
281.0,1979.712329
309.0,1979.731507
246.0,1979.764384
270.0,1979.827397
316.0,1979.854795
245.0,1979.876712
263.0,1979.884932
288.0,1979.887671
248.0,1979.890411
199.0,1979.89863
285.0,1979.906849
276.0,1979.931507
273.0,1979.945205
276.0,1979.969863
189.0,1979.978082
285.0,1979.989041
216.0,1980.016438
225.0,1980.019178
264.0,1980.041096
201.0,1980.054795
243.0,1980.065753
251.0,1980.082192
300.0,1980.123288
220.0,1980.128767
262.0,1980.134247
255.0,1980.145205
215.0,1980.150685
255.0,1980.164384
250.0,1980.167123
282.0,1980.183562
289.0,1980.194521
220.0,1980.208219
297.0,1980.213699
311.0,1980.216438
275.0,1980.219178
298.0,1980.230137
251.0,1980.260274
225.0,1980.263014
294.0,1980.273973
326.0,1980.276712
296.0,1980.29589
276.0,1980.312329
232.0,1980.323288
304.0,1980.334247
293.0,1980.345205
245.0,1980.358904
297.0,1980.364384
314.0,1980.367123
277.0,1980.375342
233.0,1980.380822
326.0,1980.391781
233.0,1980.4
232.0,1980.416438
312.0,1980.421918
291.0,1980.432877
281.0,1980.441096
246.0,1980.452055
288.0,1980.468493
251.0,1980.482192
301.0,1980.484932
339.0,1980.490411
247.0,1980.493151
250.0,1980.50137
325.0,1980.520548
194.0,1980.534247
258.0,1980.542466
230.0,1980.553425
280.0,1980.561644
299.0,1980.580822
262.0,1980.583562
264.0,1980.60274
230.0,1980.608219
328.0,1980.616438
294.0,1980.621918
302.0,1980.635616
224.0,1980.671233
248.0,1980.690411
270.0,1980.69589
350.0,1980.715068
222.0,1980.745205
366.0,1980.750685
312.0,1980.756164
268.0,1980.772603
288.0,1980.791781
221.0,1980.8
219.0,1980.80274
231.0,1980.821918
260.0,1980.824658
282.0,1980.827397
281.0,1980.871233
279.0,1980.887671
257.0,1980.912329
257.0,1980.923288
252.0,1980.928767
173.0,1980.936986
254.0,1980.950685
286.0,1980.961644
263.0,1980.978082
168.0,1980.986301
213.0,1980.994521
196.0,1981.008219
279.0,1981.019178
265.0,1981.032877
251.0,1981.041096
247.0,1981.043836
275.0,1981.073973
276.0,1981.09589
203.0,1981.106849
290.0,1981.112329
253.0,1981.120548
299.0,1981.153425
336.0,1981.210959
295.0,1981.213699
324.0,1981.273973
206.0,1981.279452
288.0,1981.328767
322.0,1981.350685
293.0,1981.369863
287.0,1981.408219
201.0,1981.413699
284.0,1981.441096
235.0,1981.449315
221.0,1981.471233
271.0,1981.473973
324.0,1981.476712
298.0,1981.49589
208.0,1981.509589
186.0,1981.528767
256.0,1981.531507
302.0,1981.556164
291.0,1981.558904
296.0,1981.591781
208.0,1981.60274
295.0,1981.613699
283.0,1981.616438
233.0,1981.621918
269.0,1981.627397
275.0,1981.649315
203.0,1981.663014
279.0,1981.673973
267.0,1981.723288
300.0,1981.728767
303.0,1981.769863
231.0,1981.780822
270.0,1981.808219
270.0,1981.830137
220.0,1981.832877
241.0,1981.852055
195.0,1981.854795
243.0,1981.868493
166.0,1981.873973
268.0,1981.879452
262.0,1981.884932
282.0,1981.945205
214.0,1981.947945
271.0,1981.994521
271.0,1982.021918
238.0,1982.060274
204.0,1982.065753
189.0,1982.10137
272.0,1982.126027
251.0,1982.131507
331.0,1982.147945
274.0,1982.164384
219.0,1982.19726
261.0,1982.210959
272.0,1982.230137
204.0,1982.238356
316.0,1982.263014
289.0,1982.268493
202.0,1982.315068
267.0,1982.317808
300.0,1982.320548
303.0,1982.326027
251.0,1982.331507
252.0,1982.356164
277.0,1982.358904
280.0,1982.383562
209.0,1982.427397
300.0,1982.443836
281.0,1982.49589
253.0,1982.49863
203.0,1982.50411
250.0,1982.512329
267.0,1982.528767
208.0,1982.545205
264.0,1982.547945
193.0,1982.561644
231.0,1982.586301
265.0,1982.589041
235.0,1982.591781
173.0,1982.6
259.0,1982.624658
223.0,1982.638356
184.0,1982.641096
239.0,1982.643836
265.0,1982.687671
223.0,1982.69589
290.0,1982.726027
237.0,1982.734247
198.0,1982.756164
240.0,1982.758904
261.0,1982.764384
234.0,1982.789041
196.0,1982.794521
271.0,1982.79726
266.0,1982.80274
181.0,1982.813699
244.0,1982.816438
216.0,1982.835616
262.0,1982.841096
265.0,1982.846575
244.0,1982.854795
221.0,1982.857534
261.0,1982.879452
267.0,1982.90411
255.0,1982.917808
183.0,1982.926027
250.0,1982.939726
176.0,1982.945205
162.0,1982.947945
227.0,1982.950685
265.0,1982.961644
252.0,1982.972603
200.0,1982.975342
209.0,1982.978082
223.0,1982.989041
178.0,1983.005479
192.0,1983.021918
246.0,1983.038356
236.0,1983.052055
240.0,1983.076712
197.0,1983.079452
232.0,1983.084932
253.0,1983.09589
145.0,1983.10137
260.0,1983.128767
275.0,1983.145205
223.0,1983.213699
273.0,1983.219178
267.0,1983.224658
261.0,1983.238356
199.0,1983.254795
278.0,1983.260274
283.0,1983.265753
276.0,1983.279452
281.0,1983.284932
197.0,1983.290411
243.0,1983.306849
256.0,1983.334247
283.0,1983.336986
311.0,1983.345205
245.0,1983.378082
201.0,1983.386301
258.0,1983.421918
194.0,1983.463014
260.0,1983.473973
264.0,1983.487671
179.0,1983.539726
237.0,1983.545205
184.0,1983.578082
268.0,1983.589041
284.0,1983.591781
265.0,1983.608219
240.0,1983.610959
252.0,1983.613699
268.0,1983.630137
276.0,1983.690411
252.0,1983.70411
267.0,1983.728767
248.0,1983.736986
307.0,1983.747945
187.0,1983.750685
284.0,1983.761644
269.0,1983.783562
239.0,1983.794521
228.0,1983.832877
204.0,1983.846575
257.0,1983.860274
188.0,1983.868493
279.0,1983.90137
193.0,1983.906849
171.0,1983.923288
285.0,1983.936986
244.0,1983.939726
283.0,1983.991781
194.0,1984.021918
242.0,1984.030137
252.0,1984.032877
249.0,1984.046575
248.0,1984.054795
184.0,1984.060274
253.0,1984.065753
187.0,1984.09863
254.0,1984.109589
174.0,1984.117808
297.0,1984.128767
178.0,1984.136986
193.0,1984.153425
253.0,1984.164384
221.0,1984.172603
195.0,1984.175342
264.0,1984.189041
207.0,1984.213699
252.0,1984.219178
266.0,1984.227397
278.0,1984.238356
187.0,1984.252055
278.0,1984.282192
284.0,1984.293151
215.0,1984.306849
313.0,1984.320548
269.0,1984.339726
307.0,1984.358904
295.0,1984.380822
189.0,1984.383562
284.0,1984.416438
257.0,1984.446575
266.0,1984.452055
181.0,1984.460274
273.0,1984.471233
263.0,1984.476712
179.0,1984.479452
290.0,1984.531507
207.0,1984.536986
270.0,1984.553425
264.0,1984.564384
240.0,1984.591781
195.0,1984.594521
260.0,1984.6
280.0,1984.60274
260.0,1984.621918
287.0,1984.624658
278.0,1984.641096
184.0,1984.690411
252.0,1984.69863
287.0,1984.736986
258.0,1984.753425
276.0,1984.758904
299.0,1984.783562
217.0,1984.816438
164.0,1984.824658
166.0,1984.827397
277.0,1984.838356
252.0,1984.841096
180.0,1984.846575
235.0,1984.854795
251.0,1984.890411
251.0,1984.906849
249.0,1984.912329
167.0,1984.920548
218.0,1984.926027
167.0,1984.989041
222.0,1985.008219
235.0,1985.021918
168.0,1985.052055
164.0,1985.073973
217.0,1985.087671
254.0,1985.09863
266.0,1985.126027
193.0,1985.128767
171.0,1985.131507
252.0,1985.175342
268.0,1985.194521
179.0,1985.208219
283.0,1985.213699
260.0,1985.216438
239.0,1985.230137
264.0,1985.276712
259.0,1985.293151
196.0,1985.30137
183.0,1985.342466
287.0,1985.353425
275.0,1985.389041
259.0,1985.413699
278.0,1985.421918
272.0,1985.427397
298.0,1985.432877
260.0,1985.452055
297.0,1985.490411
263.0,1985.50137
266.0,1985.528767
263.0,1985.542466
236.0,1985.575342
247.0,1985.580822
241.0,1985.583562
257.0,1985.586301
261.0,1985.6
298.0,1985.60274
246.0,1985.652055
271.0,1985.654795
265.0,1985.660274
256.0,1985.679452
282.0,1985.715068
259.0,1985.728767
267.0,1985.736986
218.0,1985.742466
165.0,1985.745205
270.0,1985.778082
151.0,1985.783562
267.0,1985.791781
191.0,1985.80274
246.0,1985.827397
210.0,1985.835616
241.0,1985.868493
180.0,1985.879452
224.0,1985.90137
248.0,1985.90411
186.0,1985.915068
162.0,1985.917808
251.0,1985.931507
238.0,1985.950685
223.0,1985.991781
161.0,1986.00274
165.0,1986.013699
247.0,1986.019178
162.0,1986.030137
234.0,1986.035616
217.0,1986.041096
231.0,1986.046575
239.0,1986.10137
254.0,1986.115068
285.0,1986.120548
246.0,1986.131507
171.0,1986.147945
227.0,1986.156164
