y,x
4.41,1260.0
4.63,1261.0
4.38,1262.0
4.52,1263.0
4.42,1264.0
4.64,1265.0
4.44,1266.0
5.15,1267.0
5.23,1268.0
4.42,1269.0
4.71,1270.0
3.76,1271.0
2.8,1272.0
3.76,1273.0
3.91,1274.0
3.68,1275.0
3.83,1276.0
3.71,1277.0
3.61,1278.0
3.91,1279.0
3.91,1280.0
3.98,1281.0
3.54,1282.0
3.32,1283.0
3.1,1284.0
4.42,1285.0
4.05,1286.0
4.05,1287.0
5.08,1288.0
5.31,1289.0
4.64,1290.0
3.46,1291.0
3.83,1292.0
3.98,1293.0
3.32,1294.0
2.8,1295.0
3.54,1296.0
3.98,1297.0
3.46,1298.0
3.83,1299.0
3.24,1300.0
4.29,1301.0
4.28,1302.0
4.65,1303.0
4.57,1304.0
4.42,1305.0
4.27,1306.0
4.57,1307.0
4.05,1308.0
3.76,1309.0
3.47,1310.0
3.98,1311.0
4.57,1312.0
4.86,1313.0
4.42,1314.0
3.76,1315.0
2.28,1316.0
2.28,1317.0
3.24,1318.0
4.13,1319.0
4.64,1320.0
4.05,1321.0
3.54,1322.0
3.02,1323.0
3.61,1324.0
3.91,1325.0
3.98,1326.0
5.16,1327.0
5.16,1328.0
4.13,1329.0
4.13,1330.0
3.68,1331.0
3.76,1332.0
4.42,1333.0
5.01,1334.0
5.16,1335.0
4.86,1336.0
4.42,1337.0
5.29,1338.0
5.18,1339.0
3.83,1340.0
4.27,1341.0
4.35,1342.0
4.42,1343.0
3.83,1344.0
3.76,1345.0
4.2,1346.0
3.39,1347.0
3.17,1348.0
3.83,1349.0
3.61,1350.0
2.93,1351.0
2.6,1352.0
3.19,1353.0
3.96,1354.0
4.24,1355.0
4.23,1356.0
4.02,1357.0
4.02,1358.0
4.63,1359.0
4.5,1360.0
4.64,1361.0
3.98,1362.0
3.98,1363.0
4.05,1364.0
4.27,1365.0
5.08,1366.0
4.5,1367.0
4.42,1368.0
4.05,1369.0
3.32,1370.0
3.76,1371.0
4.64,1372.0
4.64,1373.0
4.86,1374.0
4.86,1375.0
4.2,1376.0
5.45,1377.0
6.41,1378.0
6.49,1379.0
5.75,1380.0
5.16,1381.0
5.53,1382.0
5.67,1383.0
5.31,1384.0
5.45,1385.0
5.9,1386.0
6.12,1387.0
5.97,1388.0
6.12,1389.0
5.75,1390.0
4.57,1391.0
5.9,1392.0
6.12,1393.0
6.04,1394.0
6.56,1395.0
6.19,1396.0
5.31,1397.0
5.08,1398.0
5.38,1399.0
5.9,1400.0
4.72,1401.0
4.79,1402.0
5.22,1403.0
6.4,1404.0
6.53,1405.0
6.6,1406.0
6.79,1407.0
6.4,1408.0
5.82,1409.0
5.47,1410.0
6.83,1411.0
7.15,1412.0
6.85,1413.0
6.85,1414.0
6.41,1415.0
5.97,1416.0
5.75,1417.0
6.49,1418.0
7.74,1419.0
7.22,1420.0
7.96,1421.0
7.59,1422.0
6.85,1423.0
7.15,1424.0
6.78,1425.0
7.15,1426.0
7.66,1427.0
7.44,1428.0
5.82,1429.0
5.31,1430.0
6.41,1431.0
7.22,1432.0
6.56,1433.0
6.78,1434.0
7.0,1435.0
7.74,1436.0
7.96,1437.0
5.75,1438.0
4.79,1439.0
5.23,1440.0
7.96,1441.0
8.7,1442.0
7.59,1443.0
7.22,1444.0
8.47,1445.0
7.74,1446.0
7.37,1447.0
7.22,1448.0
6.93,1449.0
7.22,1450.0
6.78,1451.0
7.59,1452.0
7.59,1453.0
7.0,1454.0
7.81,1455.0
7.3,1456.0
7.96,1457.0
7.44,1458.0
7.74,1459.0
7.59,1460.0
6.19,1461.0
6.41,1462.0
8.4,1463.0
8.55,1464.0
6.85,1465.0
6.78,1466.0
6.85,1467.0
6.93,1468.0
6.85,1469.0
7.22,1470.0
7.15,1471.0
7.07,1472.0
7.59,1473.0
7.74,1474.0
8.18,1475.0
8.7,1476.0
9.06,1477.0
8.25,1478.0
7.59,1479.0
7.15,1480.0
6.41,1481.0
5.08,1482.0
4.57,1483.0
5.75,1484.0
7.44,1485.0
8.55,1486.0
7.15,1487.0
6.63,1488.0
6.78,1489.0
6.93,1490.0
6.56,1491.0
7.15,1492.0
6.26,1493.0
7.66,1494.0
8.25,1495.0
7.81,1496.0
7.3,1497.0
7.66,1498.0
7.44,1499.0
7.84,1500.0
6.89,1501.0
6.04,1502.0
6.46,1503.0
6.89,1504.0
7.16,1505.0
6.95,1506.0
7.52,1507.0
7.37,1508.0
8.01,1509.0
7.16,1510.0
7.6,1511.0
7.3,1512.0
6.14,1513.0
6.25,1514.0
6.89,1515.0
6.7,1516.0
6.64,1517.0
6.35,1518.0
5.71,1519.0
5.38,1520.0
4.41,1521.0
4.61,1522.0
5.42,1523.0
5.54,1524.0
5.71,1525.0
5.54,1526.0
5.01,1527.0
4.12,1528.0
4.64,1529.0
4.36,1530.0
4.78,1531.0
4.12,1532.0
4.41,1533.0
5.19,1534.0
5.8,1535.0
4.68,1536.0
5.0,1537.0
5.67,1538.0
5.38,1539.0
5.06,1540.0
4.89,1541.0
4.73,1542.0
4.8,1543.0
4.66,1544.0
4.38,1545.0
3.4,1546.0
3.68,1547.0
4.46,1548.0
4.16,1549.0
3.52,1550.0
3.34,1551.0
3.56,1552.0
3.9,1553.0
3.76,1554.0
3.94,1555.0
2.95,1556.0
2.73,1557.0
4.98,1558.0
4.6,1559.0
4.53,1560.0
4.34,1561.0
4.66,1562.0
2.39,1563.0
4.59,1564.0
4.41,1565.0
4.5,1566.0
4.63,1567.0
4.69,1568.0
4.83,1569.0
4.48,1570.0
5.12,1571.0
5.08,1572.0
5.05,1573.0
3.73,1574.0
4.26,1575.0
4.6,1576.0
3.95,1577.0
4.13,1578.0
4.48,1579.0
4.31,1580.0
4.24,1581.0
4.3,1582.0
4.55,1583.0
4.43,1584.0
4.36,1585.0
4.19,1586.0
3.0,1587.0
4.26,1588.0
4.16,1589.0
3.72,1590.0
3.21,1591.0
3.99,1592.0
4.14,1593.0
3.87,1594.0
2.86,1595.0
2.92,1596.0
2.15,1597.0
2.54,1598.0
3.11,1599.0
3.21,1600.0
2.75,1601.0
3.13,1602.0
3.29,1603.0
3.65,1604.0
3.29,1605.0
3.15,1606.0
3.28,1607.0
2.9,1608.0
2.64,1609.0
2.93,1610.0
3.18,1611.0
2.82,1612.0
2.68,1613.0
2.6,1614.0
2.63,1615.0
2.62,1616.0
2.74,1617.0
2.85,1618.0
3.07,1619.0
3.16,1620.0
3.37,1621.0
3.01,1622.0
2.7,1623.0
2.97,1624.0
3.06,1625.0
2.99,1626.0
3.37,1627.0
3.63,1628.0
3.35,1629.0
2.9,1630.0
2.56,1631.0
3.05,1632.0
3.17,1633.0
2.96,1634.0
3.07,1635.0
3.12,1636.0
3.01,1637.0
2.67,1638.0
3.14,1639.0
3.53,1640.0
3.32,1641.0
3.53,1642.0
3.59,1643.0
3.77,1644.0
3.52,1645.0
3.59,1646.0
3.09,1647.0
2.7,1648.0
2.56,1649.0
2.52,1650.0
3.04,1651.0
3.32,1652.0
3.75,1653.0
4.04,1654.0
4.16,1655.0
3.96,1656.0
3.61,1657.0
3.42,1658.0
3.16,1659.0
3.24,1660.0
3.41,1661.0
3.29,1662.0
3.34,1663.0
3.54,1664.0
3.54,1665.0
3.68,1666.0
3.86,1667.0
3.86,1668.0
4.03,1669.0
4.0,1670.0
4.03,1671.0
4.18,1672.0
4.21,1673.0
3.97,1674.0
3.68,1675.0
3.86,1676.0
4.19,1677.0
4.17,1678.0
3.95,1679.0
4.07,1680.0
4.23,1681.0
4.24,1682.0
4.34,1683.0
4.32,1684.0
4.22,1685.0
4.2,1686.0
4.8,1687.0
4.82,1688.0
4.89,1689.0
4.82,1690.0
4.75,1691.0
4.86,1692.0
4.66,1693.0
4.2,1694.0
4.22,1695.0
4.21,1696.0
4.19,1697.0
4.01,1698.0
3.91,1699.0
4.5,1700.0
5.2,1701.0
5.3,1702.0
5.64,1703.0
5.48,1704.0
6.09,1705.0
5.42,1706.0
6.3,1707.0
6.08,1708.0
5.29,1709.0
4.68,1710.0
4.23,1711.0
5.68,1712.0
5.93,1713.0
5.61,1714.0
5.57,1715.0
5.88,1716.0
6.14,1717.0
6.3,1718.0
6.06,1719.0
5.78,1720.0
5.92,1721.0
6.45,1722.0
6.7,1723.0
6.37,1724.0
6.19,1725.0
5.91,1726.0
6.3,1727.0
6.13,1728.0
5.86,1729.0
6.42,1730.0
6.96,1731.0
6.9,1732.0
7.26,1733.0
7.03,1734.0
6.97,1735.0
7.16,1736.0
6.7,1737.0
6.84,1738.0
7.0,1739.0
6.23,1740.0
5.77,1741.0
6.3,1742.0
6.63,1743.0
7.42,1744.0
7.34,1745.0
6.7,1746.0
6.93,1747.0
6.63,1748.0
6.39,1749.0
6.56,1750.0
6.93,1751.0
6.76,1752.0
7.04,1753.0
7.1,1754.0
7.0,1755.0
7.06,1756.0
6.0,1757.0
6.22,1758.0
6.65,1759.0
6.84,1760.0
7.19,1761.0
7.23,1762.0
6.86,1763.0
6.77,1764.0
6.56,1765.0
6.55,1766.0
6.48,1767.0
6.59,1768.0
7.38,1769.0
7.22,1770.0
6.79,1771.0
6.26,1772.0
6.2,1773.0
6.4,1774.0
6.62,1775.0
6.6,1776.0
7.06,1777.0
6.59,1778.0
7.02,1779.0
7.18,1780.0
6.94,1781.0
6.96,1782.0
6.33,1783.0
6.55,1784.0
6.96,1785.0
7.1,1786.0
7.29,1787.0
7.12,1788.0
7.44,1789.0
7.1,1790.0
7.35,1791.0
7.36,1792.0
7.03,1793.0
6.74,1794.0
6.3,1795.0
6.07,1796.0
6.44,1797.0
6.56,1798.0
6.18,1799.0
4.76,1800.0
4.5,1801.0
6.0,1802.0
6.81,1803.0
6.71,1804.0
5.88,1805.0
6.07,1806.0
6.18,1807.0
5.79,1808.0
5.72,1809.0
6.02,1810.0
6.05,1811.0
5.26,1812.0
5.13,1813.0
5.96,1814.0
6.52,1815.0
7.24,1816.0
6.59,1817.0
6.43,1818.0
6.49,1819.0
7.69,1820.0
8.96,1821.0
9.97,1822.0
9.75,1823.0
8.99,1824.0
7.67,1825.0
8.12,1826.0
8.68,1827.0
8.95,1828.0
9.06,1829.0
9.4,1830.0
8.56,1831.0
9.24,1832.0
9.86,1833.0
10.69,1834.0
10.53,1835.0
9.48,1836.0
9.27,1837.0
9.22,1838.0
8.59,1839.0
8.44,1840.0
8.66,1841.0
9.38,1842.0
10.57,1843.0
10.59,1844.0
10.11,1845.0
9.73,1846.0
9.17,1847.0
10.69,1848.0
11.21,1849.0
11.28,1850.0
11.46,1851.0
11.4,1852.0
10.29,1853.0
9.71,1854.0
9.84,1855.0
9.89,1856.0
9.67,1857.0
10.73,1858.0
10.58,1859.0
10.15,1860.0
10.29,1861.0
10.49,1862.0
10.59,1863.0
10.88,1864.0
11.36,1865.0
11.55,1866.0
11.77,1867.0
12.08,1868.0
12.5,1869.0
12.83,1870.0
12.69,1871.0
12.15,1872.0
12.15,1873.0
12.91,1874.0
13.41,1875.0
13.55,1876.0
13.59,1877.0
14.4,1878.0
14.85,1879.0
14.32,1880.0
14.63,1881.0
14.8,1882.0
14.82,1883.0
15.62,1884.0
16.69,1885.0
17.1,1886.0
17.33,1887.0
17.37,1888.0
17.2,1889.0
17.24,1890.0
17.27,1891.0
17.12,1892.0
17.35,1893.0
18.32,1894.0
19.01,1895.0
19.22,1896.0
18.97,1897.0
18.52,1898.0
19.15,1899.0
18.17,1900.0
18.45,1901.0
18.52,1902.0
18.39,1903.0
18.27,1904.0
18.35,1905.0
18.23,1906.0
17.9,1907.0
18.36,1908.0
18.25,1909.0
17.94,1910.0
17.83,1911.0
17.36,1912.0
16.19,1913.0
17.56,1914.0
14.95,1915.0
13.41,1916.0
